"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","gene"
"AL139095.5",3.45888382575199e-09,0.224080416069521,0.24,0.425,0.000201313956426418,"up","AL139095.5"
"AC004908.1",3.48094579973112e-09,0.163470222789929,0.208,0.406,0.000202598007435951,"up","AC004908.1"
"AL009179.1",3.49414280445449e-09,0.55216871649928,0.562,0.632,0.00020336609950486,"up","AL009179.1"
"AC025031.2",3.49987828485817e-09,0.157818126985672,0.208,0.358,0.000203699915935315,"up","AC025031.2"
"AP003680.1",3.51220390851165e-09,0.284665198983319,0.281,0.462,0.000204417291883195,"up","AP003680.1"
"AF064858.1",3.54576950386314e-09,0.292766882168243,0.146,0.274,0.000206370876663842,"up","AF064858.1"
"AC009955.2",3.58551143938435e-09,0.120541702778764,0.125,0.377,0.000208683936795048,"up","AC009955.2"
"AC087477.2",3.59210808998376e-09,0.226019815711747,0.198,0.377,0.000209067875053235,"up","AC087477.2"
"FAM9C",3.60772963114197e-09,0.118714036146912,0.177,0.425,0.000209977079991725,"up","FAM9C"
"PRL",3.61041573988294e-09,0.266667318974308,0.219,0.264,0.000210133416892667,"up","PRL"
"AL161725.2",3.6417973776551e-09,0.13801956404454,0.177,0.453,0.000211959890974282,"up","AL161725.2"
"PIMREG",3.64379253660583e-09,0.154667704239302,0.115,0.274,0.000212076013215532,"up","PIMREG"
"AUNIP",3.66193545531911e-09,0.34280812463181,0.302,0.509,0.000213131967370483,"up","AUNIP"
"LILRA2",3.706547022647e-09,0.137093365748536,0.135,0.302,0.000215728449812101,"up","LILRA2"
"AL132712.2",3.71528864968647e-09,0.277861485485363,0.135,0.311,0.000216237229989052,"up","AL132712.2"
"PID1",3.73909815925633e-09,1.12211898498555,0.646,0.792,0.000217622991065037,"up","PID1"
"LINC02736",3.75427105778966e-09,0.149807351311677,0.156,0.321,0.000218506084105474,"up","LINC02736"
"AL353150.1",3.75451330428942e-09,0.149734421327988,0.219,0.425,0.000218520183336253,"up","AL353150.1"
"PSPC1-AS2",3.77006850719906e-09,0.175380214918997,0.167,0.443,0.000219425527256,"up","PSPC1-AS2"
"SLAMF7",3.77898769169071e-09,0.128648095459289,0.135,0.406,0.000219944641631783,"up","SLAMF7"
"SLC2A12",3.81192758380317e-09,1.08878470575754,0.875,0.962,0.000221861809232512,"up","SLC2A12"
"BLK",3.86145087276235e-09,0.252278784210549,0.208,0.302,0.000224744163696514,"up","BLK"
"BX005019.1",3.87294659784651e-09,0.253236053470635,0.24,0.425,0.000225413237887863,"up","BX005019.1"
